 од	¬озраст	—реднемес€чный расход	—редн€€ продолжительность разговоров	«вонков днем за мес€ц	«вонков вечером за мес€ц	«вонков ночью за мес€ц	«вонки в другие города	«вонки в другие страны	ƒол€ звонков на стационарные телефоны	 оличество SMS за мес€ц
0	24	121.54	2.4	12	65	5	0	0	5	56
1	51	287.51	1.7	111	109	1	44	0	6	1
2	41	113.7	2.1	41	27	0	0	0	1	36
3	35	410.23	5.6	47	49	0	0	0	11	23
4	26	537.6	4.8	58	77	4	0	0	16	29
5	26	324.56	3.3	45	75	3	1	1	8	15
6	50	410.04	4.1	61	71	0	0	2	23	4
7	66	14.52	1.1	10	1	0	0	0	3	1
8	36	209.12	2.5	34	70	3	2	0	7	63
9	40	162.4	1.6	79	32	4	0	0	18	27
10	23	2672.34	13.8	222	77	10	30	0	20	10
11	29	556.92	3.4	97	96	2	0	0	0	49
12	43	636.75	6.8	59	64	0	0	0	8	18
13	21	57.33	2	2	39	8	0	0	2	21
14	37	339.2	2.5	41	152	6	4	0	1	20
15	69	50.4	2.1	15	5	0	0	0	14	3
16	46	539.28	5.1	92	37	0	25	0	27	0
17	37	222.09	1.9	61	95	5	0	0	1	18
18	48	202.3	3.4	31	41	0	30	0	1	4
19	52	17.69	1.8	7	5	0	0	0	0	0
20	59	74.88	2.4	9	17	0	0	0	7	1
21	27	245.95	2.7	62	55	0	0	0	19	23
22	30	318.82	3.5	50	72	0	2	0	12	26
23	51	3608.54	13.8	326	77	15	58	3	58	0
24	53	118.44	2.4	36	19	1	4	0	14	4
25	38	166.77	1.7	45	91	0	0	0	11	56
26	53	606.84	7.3	48	61	3	0	2	5	1
27	30	349.59	2.8	69	96	6	7	1	6	3
28	34	180.91	1.6	87	54	1	36	0	11	30
29	59	1187.88	8.4	91	93	2	0	0	18	5
30	43	145.24	2.4	34	44	6	7	0	12	15
31	19	52.43	0.7	29	74	8	0	0	0	39
32	29	237.22	2.8	33	86	0	1	0	3	55
33	41	330.75	7.5	41	5	0	2	0	7	12
34	54	513.68	6.4	35	77	0	0	0	2	3
35	51	214.2	1.7	104	34	0	38	0	8	4
36	51	966.2	6.4	104	90	0	0	0	18	4
37	53	351.26	2.6	106	43	2	41	2	27	4
38	45	189.51	2.5	59	36	0	0	0	21	3
39	53	955.63	5.2	99	147	3	24	0	12	1
40	25	662.73	5.1	87	81	0	4	0	18	53
41	53	343.73	3.8	48	73	4	0	0	15	4
42	60	285.6	2	46	139	0	33	0	4	4
43	59	196	3.5	35	31	0	0	0	11	2
44	59	310.54	3.9	31	81	0	2	0	3	2
45	50	343.73	3.8	62	54	0	31	0	8	1
46	68	39	2.5	9	4	0	0	0	4	3
47	68	55.2	2.3	8	12	0	0	0	10	1
48	41	952.28	7.6	41	121	0	0	0	11	5
49	26	569.29	5.4	65	71	7	0	0	9	14
50	65	73.92	2.2	16	12	0	0	0	7	0
51	63	77.52	3.4	9	10	0	0	0	6	1
52	51	424.82	5.4	62	33	7	0	0	16	5
53	31	1922.36	14.4	109	123	25	6	0	5	79
54	39	591.58	7.4	56	44	5	0	0	29	22
55	38	357.42	3.1	65	89	0	7	1	22	3
56	41	223.91	1.9	90	58	0	0	0	14	39
57	51	1148.51	6	184	112	9	76	0	43	8
58	36	853.45	6.6	111	46	0	11	0	2	58
59	20	32.87	0.4	23	101	10	3	0	3	46
60	52	265.69	4.3	42	38	0	5	1	7	4
61	53	232.96	2.6	40	72	0	3	0	12	4
62	54	302.32	2.8	51	95	5	0	1	15	2
63	59	532.02	7.2	42	57	0	10	0	12	0
64	19	340.03	3.4	50	102	10	4	0	3	26
65	44	467.46	5.3	62	36	6	0	0	2	16
66	69	25.92	1.2	9	9	0	0	0	2	1
67	59	302.03	2.9	77	54	1	0	0	16	5
68	56	232.95	2.3	51	86	2	0	1	20	2
69	56	670.32	5.6	33	124	0	33	0	11	1
70	53	14.41	1.1	10	6	0	0	0	0	0
71	33	612.96	8.3	48	36	3	30	0	1	17
72	53	2556.34	9.8	260	131	37	42	0	55	8
73	40	172.56	2.1	48	60	4	22	2	14	44
74	49	554.32	3.8	93	98	0	22	0	6	1
75	55	1548.2	9.9	104	98	3	40	0	3	4
77	68	50.4	3.5	5	7	0	0	0	2	0
78	67	14.4	1.5	3	5	0	0	0	9	1
79	39	199.7	2.2	67	47	1	13	0	5	36
80	40	1236.03	9.9	68	98	4	0	0	14	66
81	37	149.1	1.2	67	81	3	1	0	22	22
82	55	616.11	5.2	69	89	0	0	0	0	3
83	47	13.51	1.1	11	4	0	0	0	0	0
84	33	508.22	5.2	100	64	30	49	2	4	65
85	26	321.43	2.9	63	84	2	0	0	9	39
86	55	365.32	3.7	65	64	0	15	0	19	5
87	48	484.44	6.5	50	45	4	0	0	11	4
88	33	17.04	1.3	11	5	0	0	0	0	0
89	61	1529.92	6.4	243	91	15	32	5	48	15
90	49	162.43	1.5	67	76	0	4	0	3	4
91	53	18.72	1.2	3	10	0	0	0	2	1
92	38	1053.15	9.9	59	84	0	0	0	19	21
93	35	206.01	3.3	30	56	0	20	0	8	60
94	60	571.39	3.9	109	75	2	0	0	5	0
95	26	618.02	6.6	46	82	0	0	1	16	48
96	29	1977.5	18.2	100	78	42	38	0	0	62
97	54	117.37	1.1	69	68	5	22	0	10	3
98	25	336.7	3.7	60	45	2	31	0	22	14
99	54	354.76	2.8	59	98	0	1	0	0	5
100	47	419.97	3.8	33	126	1	3	0	3	3
101	64	7.2	1.2	4	1	0	0	0	3	3
102	45	1399.65	9.3	46	148	4	0	2	17	2
103	64	63.48	2.3	18	5	0	0	0	4	1
104	46	154.28	1.9	79	5	0	0	0	3	0
105	66	71.76	2.3	17	9	0	0	0	1	1
106	44	735.73	7	34	117	0	0	0	20	9
107	52	263.08	3.5	37	66	0	0	0	8	2
108	47	134.06	2.3	41	32	3	4	0	14	1
109	46	88.44	1.9	44	3	3	0	0	15	4
110	54	23.34	1.9	10	5	0	0	0	0	0
111	40	420.42	4.4	60	65	0	34	0	9	18
112	56	291.62	2.8	111	6	3	22	0	1	5
113	44	337.74	2.2	90	113	2	0	0	10	32
114	32	1285.94	9.2	111	121	48	6	2	1	86
115	30	1631.12	15.6	70	109	25	44	0	9	63
116	55	581	8.3	58	18	2	12	1	26	4
117	45	199.18	2.1	63	44	5	25	0	18	3
118	25	833.63	8.8	75	85	27	4	0	9	44
119	47	164.35	1.2	93	84	0	0	0	6	0
120	38	105.17	1.3	67	32	0	14	0	8	26
121	33	428.96	5.2	72	26	3	0	0	14	60
122	57	468.77	6.6	38	54	7	0	0	9	3
123	37	643.72	7.6	31	75	6	7	0	11	38
124	56	931.55	6.4	108	75	3	9	0	10	5
125	69	12.48	2.6	2	2	0	0	0	0	2
126	21	141.01	1.7	36	79	7	2	0	0	54
127	20	411.18	4.4	46	74	27	3	0	5	40
128	28	332.2	3.5	50	76	4	0	0	27	28
129	42	12.6	1.4	8	2	0	0	0	0	0
130	57	288.05	3.4	70	34	0	7	0	7	3
131	30	268.87	2.3	60	82	2	0	0	9	19
132	38	483.14	3.4	99	63	0	2	0	6	21
133	31	274.32	2.9	43	86	5	0	0	19	48
134	65	48.6	2.7	6	9	0	0	0	7	1
135	44	211.17	1.7	64	101	8	5	0	1	28
136	38	196.64	2.1	84	27	2	32	0	13	49
137	46	876.36	4.9	109	100	5	0	0	2	1
138	57	738.54	6.2	89	59	6	11	0	22	4
139	35	2504.1	17	115	119	23	5	2	9	123
140	27	243.21	2.3	49	97	0	5	0	6	27
141	34	487.88	3.7	48	138	2	0	0	22	5
142	32	954.19	6.8	95	138	48	9	0	0	57
143	50	17.12	1.1	8	11	0	0	0	0	0
144	49	3636.63	11	376	119	48	8	3	28	14
